px_0,px_1,px_2,px_3,px_4,px_5,px_6,px_7,px_8,px_9,px_10,px_11,px_12,px_13,px_14,px_15,px_16,px_17,px_18,px_19,px_20,px_21,px_22,px_23,px_24,px_25,px_26,px_27,px_28,px_29,px_30,px_31,px_32,px_33,px_34,px_35,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_8,mask_9,mask_10,mask_11,mask_12,mask_13,mask_14,mask_15,mask_16,mask_17,mask_18,mask_19,mask_20,mask_21,mask_22,mask_23,mask_24,mask_25,mask_26,mask_27,mask_28,mask_29,mask_30,mask_31,mask_32,mask_33,mask_34,mask_35,posture_meta
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.868,0.895,0.761,0.9,0.117,0.0,0.147,0.952,1.038,1.013,0.648,0.415,0.622,0.0,0.695,0.89,1.059,1.337,0.892,1.092,4.25,1.103,0.854,0.986,0.66,1.014,1.452,1.018,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.853,0.528,0.0,0.263,0.275,0.0,0.826,1.0,0.992,0.0,0.3,0.0,0.184,1.0,1.127,0.762,0.087,0.0,0.385,0.979,0.992,0.758,0.033,0.0,1.425,1.231,1.462,0.0,0.0,0.0,0.851,0.532,0.872,0.976,0.381,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.93,0.0,0.0,1.081,0.905,0.0,1.13,0.978,0.97,0.686,1.025,0.817,1.132,1.059,1.048,1.095,1.112,0.922,0.708,0.607,0.703,0.916,0.912,0.0,0.712,0.692,1.092,4.5,0.992,0.752,0.0,0.0,0.926,0.929,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.855,0.876,0.78,0.925,0.15,0.0,0.147,0.968,1.057,1.038,0.656,0.0,0.628,0.0,0.884,0.956,1.059,1.325,0.877,0.954,4.25,1.111,0.883,0.986,0.638,1.02,1.476,1.024,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.0,0.0,0.0,0.758,0.0,0.0,0.0,0.586,0.663,0.751,0.9,0.075,0.0,0.176,0.937,1.029,1.0,0.641,0.338,0.616,0.0,0.568,0.885,0.588,1.225,0.754,0.954,2.25,1.07,0.766,0.929,0.489,0.966,1.262,0.994,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
0.937,0.0,0.0,1.04,0.91,0.0,1.087,0.982,0.97,0.676,1.025,0.792,1.158,1.088,1.048,1.095,1.125,0.914,0.508,0.598,0.68,0.884,0.912,0.0,0.625,0.692,1.092,4.5,0.992,0.766,0.007,0.0,0.899,0.0,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.986,0.647,0.0,1.01,0.89,0.0,1.13,0.925,0.787,0.5,1.05,0.8,0.447,0.735,0.857,0.905,1.125,0.266,0.538,0.674,0.812,0.874,0.962,0.0,1.2,0.892,0.954,5.75,1.095,0.81,0.489,0.574,0.959,1.214,0.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.0,0.669,0.0,1.02,0.925,0.0,1.13,0.93,0.064,0.499,1.075,0.667,0.474,0.735,0.889,0.886,1.062,0.203,0.0,0.698,0.805,0.874,0.907,0.0,1.2,0.877,0.231,2.75,1.107,0.839,0.922,0.596,0.973,1.143,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.105,0.662,0.106,0.525,0.305,0.0,1.043,1.062,0.0,0.004,0.55,0.0,0.342,1.059,1.159,0.81,0.1,0.0,0.523,0.985,1.0,0.789,0.016,0.0,1.375,1.154,1.523,1.5,0.0,0.0,0.872,0.553,0.905,0.548,0.402,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.93,0.0,0.0,1.071,0.915,0.0,1.087,0.978,0.964,0.687,1.025,0.825,1.132,1.059,1.048,1.095,1.125,0.922,0.692,0.631,0.687,0.884,0.907,0.0,0.65,0.677,1.077,4.25,0.992,0.752,0.0,0.0,0.919,1.095,0.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.93,0.0,0.0,1.071,0.89,0.0,0.652,0.996,0.975,0.69,1.05,0.775,1.158,1.059,1.048,1.095,1.125,0.93,0.708,0.65,0.695,0.905,0.918,0.0,0.738,0.708,1.108,4.75,1.0,0.759,0.0,0.043,0.939,0.19,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
