s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.972,0.0,0.0,1.02,0.92,0.0,1.13,0.93,0.677,0.493,1.075,0.792,0.474,0.706,0.857,0.876,1.062,0.234,0.0,0.689,0.781,0.863,0.94,0.0,1.225,0.892,1.0,3.0,1.103,0.81,0.482,0.404,0.905,1.048,0.744,0.0,normal
0.993,0.0,0.0,1.01,0.915,0.0,1.087,0.93,0.834,0.496,1.075,0.808,0.474,0.735,0.889,0.905,1.075,0.617,0.154,0.692,0.789,0.874,0.94,0.176,1.212,0.892,0.985,2.75,1.103,0.839,0.496,0.574,0.959,1.238,0.774,0.0,normal
0.93,0.0,0.0,0.929,0.875,0.0,0.913,0.912,0.735,0.491,1.075,0.458,0.474,0.706,0.857,0.886,1.05,0.703,0.169,0.692,0.773,0.842,0.934,0.0,1.212,0.877,0.969,2.75,1.103,0.825,0.844,0.574,0.959,1.262,0.753,0.0,normal
0.993,0.56,0.0,1.03,0.925,0.0,1.13,0.93,0.715,0.464,1.075,0.808,0.474,0.706,0.857,0.886,1.05,0.719,0.385,0.692,0.773,0.832,0.934,0.0,1.212,0.877,0.892,2.75,1.103,0.832,0.603,0.596,0.966,1.286,0.482,0.004,normal
0.993,0.547,0.0,1.01,0.905,0.0,1.13,0.925,0.66,0.477,1.075,0.833,0.474,0.706,0.857,0.886,1.038,0.711,0.0,0.689,0.781,0.842,0.934,0.118,1.212,0.892,0.908,2.75,1.107,0.832,0.894,0.574,0.953,1.214,0.427,0.0,normal
0.993,0.562,0.0,1.01,0.905,0.0,1.13,0.93,0.265,0.48,1.075,0.775,0.447,0.794,0.905,0.905,1.05,0.406,0.385,0.692,0.766,0.853,0.934,0.0,1.237,0.908,0.908,2.75,1.107,0.839,0.901,0.574,0.959,1.214,0.75,0.0,normal
1.028,0.587,0.0,1.02,0.915,0.0,1.13,0.93,0.282,0.487,1.075,0.483,0.447,0.706,0.857,0.886,1.038,0.5,0.431,0.692,0.766,0.863,0.94,0.0,1.212,0.892,0.923,3.0,1.107,0.847,0.858,0.574,0.959,1.214,0.735,0.0,normal
0.986,0.585,0.0,1.01,0.905,0.0,0.783,0.894,0.0,0.479,0.875,0.783,0.263,0.471,0.714,0.819,0.937,0.773,0.0,0.671,0.695,0.758,0.89,0.294,1.112,0.754,0.8,0.75,1.07,0.781,0.73,0.383,0.905,1.024,0.707,0.0,normal
0.993,0.597,0.0,1.01,0.91,0.0,1.13,0.93,0.566,0.489,1.075,0.858,0.474,0.735,0.873,0.895,1.05,0.852,0.154,0.704,0.773,0.863,0.94,1.059,1.212,0.877,0.938,2.75,1.103,0.839,0.801,0.574,0.966,1.238,0.622,0.0,normal
0.937,0.517,0.0,0.929,0.875,0.0,0.783,0.89,0.425,0.479,0.85,0.783,0.263,0.471,0.73,0.819,0.95,0.789,0.0,0.674,0.703,0.779,0.896,0.294,1.112,0.754,0.815,0.75,1.074,0.788,0.766,0.404,0.912,1.048,0.753,0.0,normal
1.0,0.342,0.0,1.02,0.92,0.0,1.174,0.93,0.602,0.481,1.075,0.85,0.447,0.735,0.857,0.895,1.05,0.852,0.0,0.698,0.797,0.853,0.94,0.0,1.212,0.877,0.785,2.75,1.107,0.847,0.887,0.574,0.973,1.238,0.744,0.0,normal
