s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.944,0.0,0.0,0.394,0.305,0.0,1.0,1.004,0.95,0.0,0.275,0.0,0.237,0.971,1.127,0.781,0.1,0.0,0.862,1.069,1.086,0.8,0.055,0.0,1.587,0.938,1.046,0.0,0.0,0.0,0.993,1.149,1.061,0.0,0.409,0.0,front
1.084,0.0,0.0,0.485,0.315,0.0,0.87,1.053,0.986,0.0,1.125,0.0,0.211,0.941,1.127,0.848,0.338,0.023,0.508,0.985,1.0,0.737,0.055,0.0,1.312,0.846,1.0,0.0,0.0,0.0,0.858,0.511,0.885,0.357,0.402,0.0,front
1.098,0.584,0.0,0.384,0.305,0.0,2.348,1.15,0.898,0.0,0.325,0.0,1.079,1.941,1.429,0.886,0.325,0.023,0.538,0.988,0.875,1.021,0.17,0.588,1.312,0.923,1.354,3.5,0.0,0.0,0.865,0.532,0.892,1.0,0.405,0.0,front
1.091,0.616,0.0,0.424,0.31,0.833,2.304,1.018,0.807,0.0,0.3,0.0,0.237,0.941,1.127,0.79,0.087,0.0,0.462,0.985,0.992,0.768,0.038,0.0,1.275,1.154,1.477,4.25,0.0,0.102,0.858,0.745,1.068,0.238,0.482,0.0,front
1.084,0.632,0.0,0.737,0.45,4.333,2.391,1.145,0.945,0.0,1.0,0.0,1.079,1.941,1.429,0.829,0.1,0.0,0.462,0.982,0.984,0.789,0.038,0.0,1.312,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.892,0.048,0.409,0.0,front
1.098,0.637,0.008,0.525,0.315,0.0,0.913,1.0,0.878,0.0,0.3,0.0,1.053,1.971,1.556,0.867,0.15,0.0,0.538,0.985,1.016,0.989,0.165,1.294,1.312,0.846,1.015,0.0,0.0,0.0,1.106,1.021,0.932,0.667,0.412,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
0.86,0.63,0.0,0.424,0.305,0.0,0.87,0.996,0.862,0.0,0.275,0.0,0.237,1.029,1.349,1.057,0.475,0.055,0.462,0.982,0.992,0.768,0.033,0.0,1.325,0.846,1.015,0.0,0.0,0.0,0.865,0.532,0.899,0.333,0.409,0.0,front
