s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.696,0.724,0.74,0.7,0.0,0.0,0.0,0.81,0.971,0.913,0.586,0.354,0.616,0.0,0.642,0.835,0.529,1.237,0.769,0.815,2.0,1.074,0.81,0.922,0.489,0.966,1.262,0.991,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.727,0.779,0.751,0.9,0.083,0.053,0.265,0.952,1.057,1.025,0.656,0.508,0.631,0.0,0.716,0.852,1.059,1.337,0.892,0.831,4.25,1.107,0.869,0.965,0.66,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.683,0.638,0.746,0.7,0.025,0.0,0.0,0.825,0.981,0.95,0.617,0.477,0.619,0.0,0.716,0.852,1.0,1.337,0.892,0.815,4.25,1.107,0.869,0.972,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.718,0.765,0.753,0.875,0.083,0.0,0.206,0.952,1.057,1.025,0.656,0.477,0.619,0.0,0.716,0.857,1.0,1.325,0.877,0.846,4.0,1.103,0.876,0.957,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.833,0.746,0.753,0.9,0.083,0.0,0.206,0.937,1.048,1.013,0.648,0.462,0.619,0.0,0.716,0.863,1.0,1.337,0.892,0.923,4.25,1.107,0.869,0.957,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.828,0.699,0.75,0.8,0.05,0.0,0.206,0.937,1.048,1.013,0.648,0.462,0.622,0.0,0.716,0.863,1.0,1.337,0.877,0.938,4.25,1.107,0.876,0.957,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.863,0.713,0.747,0.7,0.025,0.0,0.0,0.81,0.971,0.913,0.594,0.354,0.601,0.0,0.632,0.824,0.529,1.25,0.769,0.831,2.25,1.074,0.818,0.915,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.863,0.696,0.747,0.7,0.025,0.0,0.0,0.841,0.971,0.913,0.594,0.338,0.601,0.0,0.632,0.824,0.529,1.237,0.769,0.815,2.25,1.074,0.818,0.922,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.868,0.715,0.747,0.7,0.033,0.0,0.147,0.952,1.057,1.025,0.648,0.462,0.622,0.0,0.716,0.868,1.0,1.337,0.892,0.954,4.25,1.107,0.876,0.979,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.894,0.724,0.751,0.9,0.083,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.695,0.863,0.941,1.325,0.877,1.015,4.0,1.103,0.854,0.965,0.638,1.02,1.452,1.012,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.833,0.724,0.737,0.7,0.0,0.0,0.0,0.81,0.971,0.913,0.586,0.354,0.607,0.0,0.632,0.819,0.471,1.237,0.769,0.815,2.25,1.07,0.803,0.922,0.489,0.959,1.262,0.991,0.0,left
0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.555,0.928,0.706,0.925,0.0,0.0,0.235,0.952,1.029,1.013,0.641,0.431,0.577,0.0,0.653,0.857,1.0,1.325,0.892,1.092,4.25,1.111,0.861,0.979,0.66,1.02,1.452,1.015,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.731,0.834,0.731,0.875,0.008,0.0,0.206,0.937,1.019,1.0,0.633,0.369,0.61,0.0,0.674,0.885,1.0,1.337,0.892,1.015,4.25,1.111,0.861,0.979,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.665,0.834,0.751,0.9,0.025,0.0,0.235,0.952,1.029,1.013,0.633,0.385,0.625,0.0,0.684,0.901,1.0,1.337,0.892,1.062,4.25,1.111,0.861,0.965,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.747,0.0,0.0,0.0,0.828,0.79,0.736,0.675,0.0,0.0,0.0,0.81,0.952,0.9,0.578,0.338,0.601,0.0,0.621,0.857,0.529,1.237,0.769,0.938,2.25,1.078,0.81,0.908,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.467,0.812,0.746,0.875,0.058,0.0,0.353,0.984,1.057,1.087,0.656,0.477,0.631,0.0,0.705,0.89,1.059,1.375,0.954,1.092,4.5,1.111,0.876,1.085,0.851,1.054,1.571,1.037,0.004,left
0.0,0.0,0.0,0.848,0.0,0.0,0.0,0.74,0.815,0.747,0.875,0.058,0.0,0.265,0.968,1.048,1.025,0.641,0.477,0.628,0.0,0.747,0.912,1.118,1.337,0.892,1.077,4.25,1.111,0.876,0.979,0.638,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.736,0.812,0.743,0.675,0.0,0.0,0.029,0.825,0.962,0.9,0.578,0.262,0.616,0.0,0.642,0.857,0.529,1.225,0.769,0.938,2.25,1.074,0.81,0.922,0.468,0.966,1.262,0.997,0.0,left
0.0,0.0,0.0,0.727,0.0,0.0,0.0,0.868,0.829,0.77,0.675,0.0,0.0,0.029,0.81,0.952,0.913,0.578,0.0,0.601,0.0,0.632,0.808,0.529,1.237,0.769,0.969,2.25,1.074,0.788,0.922,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.89,0.862,0.743,0.9,0.025,0.0,0.294,0.968,1.038,1.013,0.641,0.492,0.644,0.0,0.737,0.863,1.0,1.325,0.877,1.092,4.25,1.107,0.861,0.979,0.638,1.014,1.452,1.021,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.661,0.826,0.763,0.875,0.0,0.0,0.206,0.937,1.038,1.013,0.641,0.477,0.65,0.0,0.726,0.912,1.0,1.337,0.892,1.092,4.5,1.123,0.876,0.979,0.638,1.014,1.452,1.012,0.0,left
0.0,0.0,0.0,0.768,0.0,0.0,0.0,0.806,0.865,0.747,0.675,0.033,0.0,0.0,0.81,0.962,0.9,0.586,0.0,0.583,0.0,0.6,0.863,0.412,1.225,0.754,0.954,2.25,1.07,0.781,0.922,0.489,0.953,1.262,0.994,0.0,left
0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.665,0.89,0.76,0.875,0.1,0.0,0.176,0.937,1.057,1.087,0.656,0.215,0.61,0.0,0.674,0.89,0.941,1.325,0.877,1.077,4.0,1.099,0.832,0.972,0.638,0.993,1.286,1.03,0.0,left
0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.573,0.87,0.756,0.675,0.05,0.0,0.0,0.81,0.952,0.9,0.586,0.246,0.592,0.0,0.6,0.852,0.471,1.225,0.754,0.954,2.0,1.066,0.781,0.922,0.468,0.939,1.238,0.991,0.0,left
0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.626,0.873,0.754,0.675,0.05,0.0,0.0,0.81,0.962,0.9,0.586,0.262,0.589,0.0,0.6,0.852,0.471,1.225,0.754,0.954,2.25,1.066,0.781,0.922,0.489,0.946,1.238,0.991,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.555,0.895,0.76,0.9,0.117,0.0,0.176,0.952,1.038,1.013,0.656,0.477,0.631,0.0,0.695,0.901,1.0,1.337,0.877,1.092,4.25,1.099,0.839,0.979,0.66,1.0,1.429,1.018,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.868,0.895,0.761,0.9,0.117,0.0,0.147,0.952,1.038,1.013,0.648,0.415,0.622,0.0,0.695,0.89,1.059,1.337,0.892,1.092,4.25,1.103,0.854,0.986,0.66,1.014,1.452,1.018,0.0,left
0.0,0.0,0.0,0.808,0.0,0.0,0.0,0.793,0.873,0.756,0.675,0.058,0.0,0.0,0.81,0.962,0.913,0.594,0.323,0.601,0.0,0.611,0.841,0.471,1.237,0.769,0.954,2.25,1.066,0.796,0.922,0.489,0.959,1.262,0.994,0.0,left
0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.775,0.895,0.759,0.875,0.125,0.0,0.147,0.952,1.048,1.025,0.656,0.538,0.628,0.0,0.726,0.929,1.118,1.325,0.877,1.062,4.25,1.099,0.854,0.979,0.66,1.014,1.452,1.018,0.0,left
0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.784,0.901,0.764,0.9,0.125,0.0,0.206,0.952,1.038,1.013,0.656,0.446,0.622,0.0,0.684,0.907,0.941,1.337,0.892,1.077,4.25,1.099,0.854,0.979,0.66,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.818,0.0,0.0,0.0,0.524,0.873,0.754,0.675,0.058,0.0,0.0,0.81,0.962,0.913,0.594,0.323,0.604,0.0,0.611,0.868,0.529,1.225,0.754,0.938,2.25,1.066,0.796,0.922,0.489,0.966,1.238,0.997,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.85,0.909,0.761,0.9,0.125,0.0,0.176,0.952,1.048,1.025,0.656,0.446,0.628,0.0,0.716,0.918,1.059,1.325,0.877,1.077,4.25,1.099,0.847,0.979,0.66,1.02,1.429,1.018,0.0,left
0.0,0.0,0.0,0.758,0.0,0.0,0.0,0.291,0.892,0.76,0.675,0.05,0.0,0.0,0.81,0.962,0.913,0.594,0.323,0.61,0.0,0.6,0.879,0.353,1.225,0.769,0.938,2.25,1.07,0.796,0.922,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.768,0.0,0.0,0.0,0.537,0.854,0.744,0.675,0.017,0.0,0.0,0.81,0.952,0.913,0.586,0.338,0.601,0.0,0.589,0.89,0.471,1.237,0.754,0.923,2.25,1.07,0.781,0.922,0.468,0.966,1.262,0.997,0.0,left
0.0,0.0,0.0,0.758,0.0,0.0,0.0,0.586,0.663,0.751,0.9,0.075,0.0,0.176,0.937,1.029,1.0,0.641,0.338,0.616,0.0,0.568,0.885,0.588,1.225,0.754,0.954,2.25,1.07,0.766,0.929,0.489,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.454,0.818,0.654,0.675,0.033,0.0,0.0,0.778,0.905,0.887,0.555,0.0,0.532,0.0,0.547,0.879,0.529,1.237,0.754,0.969,2.25,1.074,0.788,0.922,0.468,0.966,1.286,0.997,0.0,left
0.0,0.0,0.0,0.657,0.0,0.0,0.0,0.665,0.826,0.747,0.75,0.108,0.0,0.088,0.921,1.029,1.013,0.625,0.0,0.58,0.0,0.642,0.923,1.0,1.325,0.862,1.046,4.25,1.107,0.847,0.972,0.638,1.02,1.476,1.015,0.0,left
0.0,0.0,0.0,0.657,0.0,0.0,0.0,0.59,0.834,0.751,0.7,0.042,0.0,0.0,0.794,0.952,0.9,0.57,0.338,0.574,0.0,0.6,0.885,0.588,1.225,0.754,0.969,2.25,1.074,0.796,0.922,0.468,0.966,1.31,1.003,0.0,left
0.0,0.0,0.0,0.818,0.0,0.0,0.0,0.775,0.878,0.777,0.925,0.125,0.0,0.118,0.952,1.048,1.025,0.648,0.477,0.595,0.0,0.695,0.934,1.0,1.362,0.954,1.154,4.75,1.111,0.876,0.986,0.638,1.02,1.452,1.021,0.0,left
0.0,0.0,0.0,0.859,0.0,0.0,0.0,0.771,0.881,0.776,0.9,0.125,0.0,0.118,0.937,1.038,1.013,0.641,0.477,0.607,0.0,0.705,0.94,1.0,1.325,0.877,1.092,4.25,1.111,0.869,0.979,0.638,1.02,1.452,1.021,0.0,left
0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.722,0.862,0.769,0.75,0.092,0.0,0.147,0.952,1.048,1.025,0.648,0.338,0.613,0.0,0.705,0.934,1.0,1.337,0.877,1.092,4.25,1.111,0.869,0.979,0.638,1.02,1.476,1.015,0.0,left
0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.846,0.862,0.761,0.7,0.075,0.0,0.0,0.825,0.971,0.925,0.586,0.0,0.601,0.0,0.632,0.896,0.588,1.225,0.754,0.969,2.25,1.078,0.818,0.922,0.489,0.966,1.262,0.997,0.0,left
0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.824,0.862,0.769,0.7,0.075,0.0,0.0,0.825,0.971,0.925,0.586,0.0,0.598,0.0,0.632,0.896,0.529,1.237,0.754,0.954,2.25,1.078,0.818,0.929,0.489,0.966,1.286,1.0,0.0,left
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.894,0.884,0.777,0.9,0.133,0.0,0.118,0.952,1.048,1.025,0.648,0.0,0.622,0.0,0.716,0.94,1.059,1.325,0.877,1.077,4.25,1.111,0.876,0.986,0.638,1.02,1.452,1.024,0.0,left
